Unique mutation,Unq muts sites
165,2.190975576266945e-52
166,9.343018008951995e-53
167,3.9877065236806415e-53
168,1.7034535803367178e-53
169,7.282706380352715e-54
170,3.115979556782342e-54
171,1.3341952682667578e-54
172,5.71677082041313e-55
173,2.4511639310452237e-55
174,1.0516417736384882e-55
175,4.51461896918497e-56
176,1.939172121817091e-56
177,8.333705105703463e-57
178,3.58320243771688e-57
179,1.541350460307508e-57
180,6.633063669930183e-58
181,2.855591378986937e-58
182,1.2297987358948883e-58
183,5.298044836759161e-59
184,2.283120961559951e-59
185,9.841529430994397e-60
186,4.243321204208298e-60
187,1.8299898711613616e-60
188,7.893712842451681e-61
189,3.405608846572537e-61
190,1.4695368929638695e-61
191,6.3420624134104945e-62
192,2.7373940920074026e-62
193,1.1816637818066668e-62
194,5.101451482268124e-63
195,2.202575114551823e-63
196,9.510407858278345e-64
197,4.106706997098466e-64
198,1.773411619997034e-64
199,7.658471299053972e-65
200,3.3074030768290522e-65
201,1.4283701592910057e-65
202,6.168782008824267e-66
203,2.6641567780259405e-66
204,1.15058519884706e-66
205,4.969053053281297e-67
206,2.145960658557606e-67
207,9.26746148081013e-68
208,4.0021058817946775e-68
209,1.7282363506175161e-68
210,7.462814924544759e-69
211,3.222445199489581e-69
212,1.3913943984427002e-69
213,6.00752307123575e-70
214,2.593700968848884e-70
215,1.1197537183421737e-70
216,4.833951354732657e-71
217,2.086691725258738e-71
218,9.007199116076561e-72
219,3.887728840548075e-72
220,1.6779393672645272e-72
221,7.241525909600015e-73
222,3.12504981049431e-73
223,1.3485168949216315e-73
224,5.818727948483187e-74
225,2.51056573851859e-74
226,1.0831453699647677e-74
227,4.672757742276293e-75
228,2.0157234860132672e-75
229,8.694801245338337e-76
230,3.750241614698272e-76
231,1.617445403681222e-76
232,6.9754260048002e-77
233,3.008032504590186e-77
234,1.2970746696296125e-77
235,5.592655890604051e-78
236,2.411248152897595e-78
237,1.0395286081984624e-78
238,4.481276766503667e-79
239,1.9316922666535772e-79
240,8.326165715110546e-80
241,3.588584595700983e-80
242,1.5465802505190224e-80
243,6.664889884521245e-81
244,2.87200284708266e-81
245,1.2375086759584453e-81
246,5.331915690603769e-82
247,2.297153793837656e-82
248,9.89620755137268e-83
249,4.263041836626187e-83
