Unique mutation,Unq muts sites
275,4.477208752317105e-299
276,1.3873994490240351e-300
277,4.283758758862282e-302
278,1.3179030630385177e-303
279,4.0400107706981186e-305
280,1.2340357784728436e-306
281,3.75599229079768e-308
282,1.139144572895193e-309
283,3.442672197662e-311
284,1.036765639053e-312
285,3.1112793297e-314
286,9.30414424e-316
287,2.7726865e-317
288,8.2336e-319
289,2.4456e-320
290,5.43e-322
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
