AC,Meth level,Gamma mew,Gamma sigma,Num sites,Type
102,0,1.62e-09,5.38e-12,0.350788423461074,Theory
103,0,1.62e-09,5.38e-12,2.0,Data
103,0,1.62e-09,5.38e-12,0.3253747032878741,Theory
104,0,1.62e-09,5.38e-12,0.0,Data
104,0,1.62e-09,5.38e-12,0.3571868004842114,Theory
105,0,1.62e-09,5.38e-12,0.0,Data
105,0,1.62e-09,5.38e-12,0.3532965125065828,Theory
106,0,1.62e-09,5.38e-12,0.0,Data
106,0,1.62e-09,5.38e-12,0.37041022384254907,Theory
107,0,1.62e-09,5.38e-12,0.0,Data
107,0,1.62e-09,5.38e-12,0.30518121107314805,Theory
108,0,1.62e-09,5.38e-12,0.0,Data
108,0,1.62e-09,5.38e-12,0.318954858094607,Theory
109,0,1.62e-09,5.38e-12,0.0,Data
109,0,1.62e-09,5.38e-12,0.2910909778057856,Theory
110,0,1.62e-09,5.38e-12,0.0,Data
110,0,1.62e-09,5.38e-12,0.32686561763142596,Theory
111,0,1.62e-09,5.38e-12,1.0,Data
111,0,1.62e-09,5.38e-12,0.34184705019723555,Theory
112,0,1.62e-09,5.38e-12,0.0,Data
112,0,1.62e-09,5.38e-12,0.29828309257683394,Theory
113,0,1.62e-09,5.38e-12,1.0,Data
113,0,1.62e-09,5.38e-12,0.28054577833686645,Theory
114,0,1.62e-09,5.38e-12,0.0,Data
114,0,1.62e-09,5.38e-12,0.298834459320118,Theory
115,0,1.62e-09,5.38e-12,0.0,Data
115,0,1.62e-09,5.38e-12,0.3344537551153779,Theory
116,0,1.62e-09,5.38e-12,0.0,Data
116,0,1.62e-09,5.38e-12,0.279873041392508,Theory
117,0,1.62e-09,5.38e-12,0.0,Data
117,0,1.62e-09,5.38e-12,0.26986552345737114,Theory
118,0,1.62e-09,5.38e-12,0.0,Data
118,0,1.62e-09,5.38e-12,0.3084434112717313,Theory
119,0,1.62e-09,5.38e-12,0.0,Data
119,0,1.62e-09,5.38e-12,0.21681876601387953,Theory
120,0,1.62e-09,5.38e-12,1.0,Data
120,0,1.62e-09,5.38e-12,0.2820184350242541,Theory
121,0,1.62e-09,5.38e-12,1.0,Data
121,0,1.62e-09,5.38e-12,0.2749948852022032,Theory
122,0,1.62e-09,5.38e-12,0.0,Data
122,0,1.62e-09,5.38e-12,0.2792747111451957,Theory
123,0,1.62e-09,5.38e-12,0.0,Data
123,0,1.62e-09,5.38e-12,0.24289426664660319,Theory
124,0,1.62e-09,5.38e-12,0.0,Data
124,0,1.62e-09,5.38e-12,0.28982914703174284,Theory
125,0,1.62e-09,5.38e-12,0.0,Data
125,0,1.62e-09,5.38e-12,0.2076631355787335,Theory
126,0,1.62e-09,5.38e-12,0.0,Data
126,0,1.62e-09,5.38e-12,0.2686277262271453,Theory
127,0,1.62e-09,5.38e-12,0.0,Data
127,0,1.62e-09,5.38e-12,0.2532592747505119,Theory
128,0,1.62e-09,5.38e-12,0.0,Data
128,0,1.62e-09,5.38e-12,0.19848307794674544,Theory
129,0,1.62e-09,5.38e-12,0.0,Data
129,0,1.62e-09,5.38e-12,0.19839258795296835,Theory
130,0,1.62e-09,5.38e-12,1.0,Data
130,0,1.62e-09,5.38e-12,0.2473026388989923,Theory
131,0,1.62e-09,5.38e-12,0.0,Data
131,0,1.62e-09,5.38e-12,0.23949567866860996,Theory
132,0,1.62e-09,5.38e-12,1.0,Data
132,0,1.62e-09,5.38e-12,0.2697990001729466,Theory
133,0,1.62e-09,5.38e-12,0.0,Data
133,0,1.62e-09,5.38e-12,0.23677996818664956,Theory
134,0,1.62e-09,5.38e-12,0.0,Data
134,0,1.62e-09,5.38e-12,0.20761018100097847,Theory
135,0,1.62e-09,5.38e-12,0.0,Data
135,0,1.62e-09,5.38e-12,0.21368288620599554,Theory
136,0,1.62e-09,5.38e-12,0.0,Data
136,0,1.62e-09,5.38e-12,0.16393349972142462,Theory
137,0,1.62e-09,5.38e-12,0.0,Data
137,0,1.62e-09,5.38e-12,0.2323292678299778,Theory
138,0,1.62e-09,5.38e-12,1.0,Data
138,0,1.62e-09,5.38e-12,0.20349722519041588,Theory
139,0,1.62e-09,5.38e-12,0.0,Data
139,0,1.62e-09,5.38e-12,0.1958564618576365,Theory
140,0,1.62e-09,5.38e-12,0.0,Data
140,0,1.62e-09,5.38e-12,0.1802044980773981,Theory
141,0,1.62e-09,5.38e-12,0.0,Data
141,0,1.62e-09,5.38e-12,0.1603033032553293,Theory
142,0,1.62e-09,5.38e-12,0.0,Data
142,0,1.62e-09,5.38e-12,0.14158496542031174,Theory
143,0,1.62e-09,5.38e-12,0.0,Data
143,0,1.62e-09,5.38e-12,0.1924541270163241,Theory
144,0,1.62e-09,5.38e-12,0.0,Data
144,0,1.62e-09,5.38e-12,0.20708600750444794,Theory
145,0,1.62e-09,5.38e-12,0.0,Data
145,0,1.62e-09,5.38e-12,0.19128452924787087,Theory
146,0,1.62e-09,5.38e-12,0.0,Data
146,0,1.62e-09,5.38e-12,0.18409741184811304,Theory
147,0,1.62e-09,5.38e-12,0.0,Data
147,0,1.62e-09,5.38e-12,0.15650927199251535,Theory
148,0,1.62e-09,5.38e-12,1.0,Data
148,0,1.62e-09,5.38e-12,0.20284257785376608,Theory
149,0,1.62e-09,5.38e-12,0.0,Data
149,0,1.62e-09,5.38e-12,0.20252802692941443,Theory
150,0,1.62e-09,5.38e-12,0.0,Data
150,0,1.62e-09,5.38e-12,0.16595846697960054,Theory
151,0,1.62e-09,5.38e-12,0.0,Data
151,0,1.62e-09,5.38e-12,0.19683458889551805,Theory
152,0,1.62e-09,5.38e-12,0.0,Data
152,0,1.62e-09,5.38e-12,0.16871434462226348,Theory
